"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",1,0.572102588694133,1.17144847431674,0.292371527893721,0.288023273738041,-0.599345885622604,0.00434825415567963
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",2,0.485774581354707,1.05903375238915,0.249216085472532,0.243007041398943,-0.573259171034439,0.00620904407358847
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",3,0.431400100912229,1.01477999975842,0.217698236322075,0.216352569926727,-0.583379898846187,0.00134566639534814
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",4,0.393163605959548,0.992547885952142,0.199880894241257,0.196235204821792,-0.599384279992594,0.00364568941946455
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",5,0.365213986577682,0.978130741113542,0.184933988889327,0.183865120373033,-0.61291675453586,0.00106886851629351
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",10,0.290306556337784,0.952491492593948,0.147490027504658,0.145538266041324,-0.662184936256164,0.00195176146333345
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",25,0.227039615646775,0.937865282305046,0.114685781586774,0.112751433951238,-0.710825666658271,0.00193434763553621
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",50,0.200525548274388,0.933541038298871,0.101315149285304,0.10008083379939,-0.733015490024483,0.00123431548591349
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",100,0.185908150985801,0.931220375760781,0.0936181740661522,0.0931498030657371,-0.74531222477498,0.000468371000415149
"Scenario 1: Misspecified (α=15,3,2)","Multinomial",500,0.17312456146237,0.929598319514882,0.0870559214640496,0.0863307677646234,-0.756473758052513,0.000725153699426134
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",1,0.526128016614776,1.09287211460874,0.0846265629618142,0.0841828171645007,-0.566744097993967,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",2,0.423865452644167,0.998907489425213,0.0846265629618142,0.0841828171645007,-0.575042036781046,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",3,0.360749112558536,0.972915560486019,0.0846265629618142,0.0841828171645007,-0.612166447927483,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",4,0.321810015599989,0.961313838614763,0.0846265629618142,0.0841828171645007,-0.639503823014774,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",5,0.297083767943927,0.953796257682245,0.0846265629618142,0.0841828171645007,-0.656712489738317,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",10,0.240537588398677,0.941055152300341,0.0846265629618142,0.0841828171645007,-0.700517563901664,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",25,0.200807215396745,0.933704227700332,0.0846265629618142,0.0841828171645007,-0.732897012303586,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",50,0.185809026301038,0.931599586380196,0.0846265629618142,0.0841828171645007,-0.745790560079158,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",100,0.178077167180748,0.93034055993881,0.0846265629618142,0.0841828171645007,-0.752263392758062,0.000443745797313572
"Scenario 1: Misspecified (α=15,3,2)","Non-Multinomial",500,0.171491937227956,0.92952527359435,0.0846265629618142,0.0841828171645007,-0.758033336366394,0.000443745797313572
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",1,0.574003489711862,0.573735595236741,0.291275682089029,0.284781217431804,0.000267894475120331,0.00649446465722564
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",2,0.488577657149045,0.484828044125082,0.245690938937806,0.240617624931252,0.00374961302396329,0.00507331400655384
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",3,0.433496321294764,0.426164097858824,0.218017971823463,0.209125920643883,0.00733222343594034,0.00889205117958006
