"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"S1: Mislocation","Multinomial",1,0.942624406573405,0.942455719179685,0.471393145799929,0.432644005318364,0.000168687393719873,0.0387491404815647
"S1: Mislocation","Multinomial",2,0.716754033120413,0.732399127757479,0.359505654547947,0.335570598903226,-0.0156450946370666,0.0239350556447211
"S1: Mislocation","Multinomial",3,0.603084927846978,0.627002606176635,0.300356266991088,0.285148251295995,-0.0239176783296567,0.0152080156950929
"S1: Mislocation","Multinomial",4,0.532953865375426,0.563844606161184,0.266775617584963,0.252102462373541,-0.0308907407857581,0.014673155211422
"S1: Mislocation","Multinomial",5,0.483287400919743,0.519464728371005,0.242287046228044,0.230185786673242,-0.0361773274512613,0.0121012595548021
"S1: Mislocation","Multinomial",10,0.367647064720551,0.419451786814235,0.183847455058739,0.174484554135099,-0.0518047220936842,0.00936290092363978
"S1: Mislocation","Multinomial",25,0.272662701559439,0.344124391685727,0.136912589529559,0.129385331788098,-0.0714616901262881,0.00752725774146104
"S1: Mislocation","Multinomial",50,0.232405993565739,0.315643469847434,0.116947096848154,0.110340742263865,-0.0832374762816948,0.00660635458428899
"S1: Mislocation","Multinomial",100,0.2094768637485,0.301087932117031,0.105036266428005,0.100086642477999,-0.091611068368531,0.00494962395000545
"S1: Mislocation","Multinomial",500,0.189396332021264,0.28865596738845,0.0954416425854843,0.0899345335189475,-0.0992596353671857,0.00550710906653687
"S1: Mislocation","Non-Multinomial",1,0.822775774647441,0.839159109545988,0.0927477071782989,0.08768154562687,-0.0163833348985473,0.00506616155142893
"S1: Mislocation","Non-Multinomial",2,0.562916783146418,0.592790737520351,0.0927477071782989,0.08768154562687,-0.0298739543739335,0.00506616155142893
"S1: Mislocation","Non-Multinomial",3,0.457068305966946,0.50428549508221,0.0927477071782989,0.08768154562687,-0.0472171891152643,0.00506616155142893
"S1: Mislocation","Non-Multinomial",4,0.406840700147464,0.455671434094119,0.0927477071782989,0.08768154562687,-0.0488307339466556,0.00506616155142893
"S1: Mislocation","Non-Multinomial",5,0.370082816833545,0.423494416279002,0.0927477071782989,0.08768154562687,-0.0534115994454572,0.00506616155142893
"S1: Mislocation","Non-Multinomial",10,0.291750014225985,0.359820147818014,0.0927477071782989,0.08768154562687,-0.0680701335920292,0.00506616155142893
"S1: Mislocation","Non-Multinomial",25,0.232565391548998,0.316126913192467,0.0927477071782989,0.08768154562687,-0.0835615216434689,0.00506616155142893
"S1: Mislocation","Non-Multinomial",50,0.20941878592322,0.300833944692828,0.0927477071782989,0.08768154562687,-0.0914151587696089,0.00506616155142893
"S1: Mislocation","Non-Multinomial",100,0.196965689804133,0.293427375681564,0.0927477071782989,0.08768154562687,-0.0964616858774306,0.00506616155142893
"S1: Mislocation","Non-Multinomial",500,0.186763143329397,0.287032639361149,0.0927477071782989,0.08768154562687,-0.100269496031752,0.00506616155142893
"S2: Moderate Dispersed (5x)","Multinomial",1,0.942547911761816,0.943306778759386,0.471401121964431,0.471396030795603,-0.000758866997569439,5.09116882785321e-06
"S2: Moderate Dispersed (5x)","Multinomial",2,0.717682035688122,0.738894862315407,0.357851078032227,0.379016902815075,-0.0212128266272847,-0.0211658247828477
"S2: Moderate Dispersed (5x)","Multinomial",3,0.60418418413502,0.637483950532216,0.299723817133091,0.336486176306542,-0.0332997663971959,-0.0367623591734511
"S2: Moderate Dispersed (5x)","Multinomial",4,0.533785079611741,0.575533070735714,0.266074460248881,0.305573589148363,-0.0417479911239733,-0.0394991288994828
"S2: Moderate Dispersed (5x)","Multinomial",5,0.485525548284663,0.533729051827006,0.241126017963699,0.289507466528315,-0.0482035035423432,-0.0483814485646158
"S2: Moderate Dispersed (5x)","Multinomial",10,0.369031602784468,0.436828560103473,0.183799053408278,0.248381859037013,-0.0677969573190047,-0.0645828056287345
"S2: Moderate Dispersed (5x)","Multinomial",25,0.273708852315293,0.364565965209659,0.136628244017889,0.219613688482825,-0.0908571128943657,-0.0829854444649353
"S2: Moderate Dispersed (5x)","Multinomial",50,0.233313331746055,0.337037636254718,0.11680282923631,0.208852499957789,-0.103724304508663,-0.0920496707214793
"S2: Moderate Dispersed (5x)","Multinomial",100,0.210043130672647,0.322254711779385,0.105245723355929,0.202574129659157,-0.112211581106738,-0.097328406303228
"S2: Moderate Dispersed (5x)","Multinomial",500,0.189438393670947,0.310020254562824,0.094752557947514,0.197806435188974,-0.120581860891878,-0.10305387724146
"S2: Moderate Dispersed (5x)","Non-Multinomial",1,0.822771571244744,0.84316906443493,0.0918851927348638,0.195620566264412,-0.0203974931901862,-0.103735373529548
