"scenario_short","alpha_type","n_counts","method","alpha_true","alpha_wrong","discrimination_pct","mean_es_diff","mean_term1_diff","mean_term2_diff","term2_contrib_ratio"
"scenario3_dispersed_calibrated","asymmetric",4,"mn","2_3_15","0.4_0.6_3",62.6,-0.0023,-0.0295,-0.0272,0.48
"scenario3_dispersed_calibrated","asymmetric",5,"mn","2_3_15","0.4_0.6_3",62.6,-0.0019,-0.036,-0.034,0.49
"scenario3_dispersed_calibrated","asymmetric",10,"mn","2_3_15","0.4_0.6_3",66.3,-0.0063,-0.0556,-0.0492,0.47
"scenario3_dispersed_calibrated","asymmetric",25,"mn","2_3_15","0.4_0.6_3",69.89,-0.0102,-0.0756,-0.0654,0.46
"scenario3_dispersed_calibrated","asymmetric",50,"mn","2_3_15","0.4_0.6_3",71.76,-0.0123,-0.0854,-0.0732,0.46
"scenario3_dispersed_calibrated","asymmetric",100,"mn","2_3_15","0.4_0.6_3",72.79,-0.0132,-0.0915,-0.0783,0.46
"scenario3_dispersed_calibrated","asymmetric",500,"mn","2_3_15","0.4_0.6_3",74.4,-0.0151,-0.0972,-0.0821,0.46
"scenario3_dispersed_calibrated","asymmetric",1,"non-mn","2_3_15","0.4_0.6_3",0.99,0.0643,-0.0142,-0.0785,0.85
"scenario3_dispersed_calibrated","asymmetric",2,"non-mn","2_3_15","0.4_0.6_3",1.8,0.0541,-0.0244,-0.0785,0.76
"scenario3_dispersed_calibrated","asymmetric",3,"non-mn","2_3_15","0.4_0.6_3",17.45,0.0382,-0.0403,-0.0785,0.66
"scenario3_dispersed_calibrated","asymmetric",4,"non-mn","2_3_15","0.4_0.6_3",30.19,0.0275,-0.0511,-0.0785,0.61
"scenario3_dispersed_calibrated","asymmetric",5,"non-mn","2_3_15","0.4_0.6_3",35.66,0.0206,-0.0579,-0.0785,0.58
"scenario3_dispersed_calibrated","asymmetric",10,"non-mn","2_3_15","0.4_0.6_3",49.08,0.0051,-0.0734,-0.0785,0.52
"scenario3_dispersed_calibrated","asymmetric",25,"non-mn","2_3_15","0.4_0.6_3",64.16,-0.0079,-0.0864,-0.0785,0.48
"scenario3_dispersed_calibrated","asymmetric",50,"non-mn","2_3_15","0.4_0.6_3",71.02,-0.0135,-0.092,-0.0785,0.46
"scenario3_dispersed_calibrated","asymmetric",100,"non-mn","2_3_15","0.4_0.6_3",75.02,-0.0166,-0.0952,-0.0785,0.45
"scenario3_dispersed_calibrated","asymmetric",500,"non-mn","2_3_15","0.4_0.6_3",78.27,-0.0195,-0.098,-0.0785,0.44
"scenario4_less_misspecified","asymmetric",1,"mn","2_3_15","4_5_11",75.61,-0.0472,-0.1792,-0.132,0.42
"scenario4_less_misspecified","asymmetric",2,"mn","2_3_15","4_5_11",57.6,-0.0489,-0.1368,-0.0879,0.39
"scenario4_less_misspecified","asymmetric",3,"mn","2_3_15","4_5_11",52.44,-0.0521,-0.1193,-0.0672,0.36
"scenario4_less_misspecified","asymmetric",4,"mn","2_3_15","4_5_11",73.35,-0.0557,-0.1113,-0.0557,0.33
"scenario4_less_misspecified","asymmetric",5,"mn","2_3_15","4_5_11",63.87,-0.058,-0.1074,-0.0494,0.31
"scenario4_less_misspecified","asymmetric",10,"mn","2_3_15","4_5_11",74.83,-0.0691,-0.1048,-0.0357,0.25
"scenario4_less_misspecified","asymmetric",25,"mn","2_3_15","4_5_11",77.29,-0.0843,-0.1113,-0.027,0.2
"scenario4_less_misspecified","asymmetric",50,"mn","2_3_15","4_5_11",80.34,-0.0928,-0.1168,-0.024,0.17
"scenario4_less_misspecified","asymmetric",100,"mn","2_3_15","4_5_11",81.73,-0.0989,-0.1209,-0.022,0.15
"scenario4_less_misspecified","asymmetric",500,"mn","2_3_15","4_5_11",83.62,-0.1044,-0.1256,-0.0212,0.14
"scenario4_less_misspecified","asymmetric",1,"non-mn","2_3_15","4_5_11",75.63,-0.122,-0.1415,-0.0194,0.12
"scenario4_less_misspecified","asymmetric",2,"non-mn","2_3_15","4_5_11",57.66,-0.0729,-0.0924,-0.0194,0.17
"scenario4_less_misspecified","asymmetric",3,"non-mn","2_3_15","4_5_11",70.74,-0.0689,-0.0883,-0.0194,0.18
"scenario4_less_misspecified","asymmetric",4,"non-mn","2_3_15","4_5_11",73.36,-0.0721,-0.0915,-0.0194,0.18
"scenario4_less_misspecified","asymmetric",5,"non-mn","2_3_15","4_5_11",63.92,-0.0756,-0.095,-0.0194,0.17
"scenario4_less_misspecified","asymmetric",10,"non-mn","2_3_15","4_5_11",74.86,-0.0854,-0.1049,-0.0194,0.16
"scenario4_less_misspecified","asymmetric",25,"non-mn","2_3_15","4_5_11",77.48,-0.0957,-0.1151,-0.0194,0.14
"scenario4_less_misspecified","asymmetric",50,"non-mn","2_3_15","4_5_11",80.5,-0.1005,-0.1199,-0.0194,0.14
"scenario4_less_misspecified","asymmetric",100,"non-mn","2_3_15","4_5_11",81.86,-0.1034,-0.1228,-0.0194,0.14
"scenario4_less_misspecified","asymmetric",500,"non-mn","2_3_15","4_5_11",83.81,-0.1065,-0.1259,-0.0194,0.13
"scenario1_mislocation","symmetric",1,"mn","10_10_10","5_10_15",66.06,-0.0386,2e-04,0.0387,1
"scenario1_mislocation","symmetric",2,"mn","10_10_10","5_10_15",66.67,-0.0396,-0.0156,0.0239,0.6
"scenario1_mislocation","symmetric",3,"mn","10_10_10","5_10_15",61.93,-0.0391,-0.0239,0.0152,0.39
"scenario1_mislocation","symmetric",4,"mn","10_10_10","5_10_15",61.88,-0.0456,-0.0309,0.0147,0.32
"scenario1_mislocation","symmetric",5,"mn","10_10_10","5_10_15",62.27,-0.0483,-0.0362,0.0121,0.25
"scenario1_mislocation","symmetric",10,"mn","10_10_10","5_10_15",70.21,-0.0612,-0.0518,0.0094,0.15
"scenario1_mislocation","symmetric",25,"mn","10_10_10","5_10_15",78.93,-0.079,-0.0715,0.0075,0.1
"scenario1_mislocation","symmetric",50,"mn","10_10_10","5_10_15",82.27,-0.0898,-0.0832,0.0066,0.07
